id,frontendId,title,translatedTitle,difficulty,status,paidOnly,acRate,isInMyFavorites,titleSlug,url,topicTags
1,1,Two Sum,两数之和,EASY,SOLVED,False,0.5507547127426966,False,two-sum,https://leetcode.cn/problems/two-sum/description/,数组;哈希表
2,2,Add Two Numbers,两数相加,MEDIUM,SOLVED,False,0.4666749839445835,False,add-two-numbers,https://leetcode.cn/problems/add-two-numbers/description/,递归;链表;数学
3,3,Longest Substring Without Repeating Characters,无重复字符的最长子串,MEDIUM,SOLVED,False,0.4224619126272108,False,longest-substring-without-repeating-characters,https://leetcode.cn/problems/longest-substring-without-repeating-characters/description/,哈希表;字符串;滑动窗口
4,4,Median of Two Sorted Arrays,寻找两个正序数组的中位数,HARD,SOLVED,False,0.44455290186528257,False,median-of-two-sorted-arrays,https://leetcode.cn/problems/median-of-two-sorted-arrays/description/,数组;二分查找;分治
5,5,Longest Palindromic Substring,最长回文子串,MEDIUM,SOLVED,False,0.4060576301249767,False,longest-palindromic-substring,https://leetcode.cn/problems/longest-palindromic-substring/description/,双指针;字符串;动态规划
6,6,Zigzag Conversion,Z 字形变换,MEDIUM,TO_DO,False,0.5420861520095503,False,zigzag-conversion,https://leetcode.cn/problems/zigzag-conversion/description/,字符串
7,7,Reverse Integer,整数反转,MEDIUM,SOLVED,False,0.35638650760519175,False,reverse-integer,https://leetcode.cn/problems/reverse-integer/description/,数学
8,8,String to Integer (atoi),字符串转换整数 (atoi),MEDIUM,TO_DO,False,0.21930980009457493,False,string-to-integer-atoi,https://leetcode.cn/problems/string-to-integer-atoi/description/,字符串
9,9,Palindrome Number,回文数,EASY,SOLVED,False,0.561965694335301,False,palindrome-number,https://leetcode.cn/problems/palindrome-number/description/,数学
10,10,Regular Expression Matching,正则表达式匹配,HARD,TO_DO,False,0.3115443158086156,False,regular-expression-matching,https://leetcode.cn/problems/regular-expression-matching/description/,递归;字符串;动态规划
11,11,Container With Most Water,盛最多水的容器,MEDIUM,SOLVED,False,0.6174277448375401,False,container-with-most-water,https://leetcode.cn/problems/container-with-most-water/description/,贪心;数组;双指针
12,12,Integer to Roman,整数转罗马数字,MEDIUM,TO_DO,False,0.6928928330040115,False,integer-to-roman,https://leetcode.cn/problems/integer-to-roman/description/,哈希表;数学;字符串
13,13,Roman to Integer,罗马数字转整数,EASY,SOLVED,False,0.6423673554977508,False,roman-to-integer,https://leetcode.cn/problems/roman-to-integer/description/,哈希表;数学;字符串
14,14,Longest Common Prefix,最长公共前缀,EASY,SOLVED,False,0.451347816056303,False,longest-common-prefix,https://leetcode.cn/problems/longest-common-prefix/description/,字典树;数组;字符串
